dt,Durazno,Sarandi_del_yi,Polanco_del_yi,Sarandi_del_Yi_level,Durazno_level,Polanco_level,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Precipitaciones_IMERG_Durazno,Precipitaciones_MERRA_Durazno,Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi,Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi,humedad_suelo,Temperatura,ET
9/30/18,0.012,0.025,0.016,1.77,2.84,3.86,28.0,28.0,19.0,0.270891488,0.03002733,0.454317689,0.03002733,1.18488109,0.003057718,0.28039358636752243,16.19048789667401,3.0245212868970786
8/20/15,0.0,0.0,0.0,3.41,9.08,6.49,0.0,0.0,0.0,0.127601683,1.21e-05,0.315269083,1.21e-05,0.058072701,4.21e-07,0.28029264060517645,11.965829889483649,3.029902699948467
4/3/15,0.0,0.0,0.0,1.1,0.0,1.52,0.0,0.0,0.0,0.0,0.002234615,0.0,0.002234615,0.0,0.001424504,0.15992136867526724,15.025020079797097,2.7831601009232423
7/3/18,0.0,0.0,0.0,1.36,1.27,3.47,0.0,0.0,0.0,0.000371983,0.059625506,0.0,0.059625506,0.026679311,0.119948387,0.16252029825687,17.687252046463332,3.276239391330388
3/6/20,0.0,0.0,0.0,1.08,0.0,1.41,0.0,0.0,0.0,0.00589683,3.3e-09,0.00100165,3.3e-09,0.091487691,3.36e-05,0.30655517730245824,16.545861241999216,3.0802104071366556
4/10/19,0.0,0.0,0.0,1.1,0.05,1.58,0.0,0.0,0.0,0.0,6.5e-27,0.0,6.5e-27,0.0,1.18e-27,0.2885903165543715,13.86037774186081,3.523172970653696
3/5/16,0.006,0.011,0.003,1.08,0.0,1.47,0.0,0.0,0.0,0.002683715,3.33e-06,0.0,3.33e-06,0.021863256,1.43e-10,0.21437926138100416,9.366044269877818,3.171185094553704
11/5/16,0.0,0.0,0.0,1.75,0.73,2.52,0.0,0.0,0.0,0.0,0.016415119,0.0,0.016415119,0.0,0.031489134,0.2558892017379696,14.402126489595219,3.7739561265811394
11/28/16,0.0,0.0,0.0,3.07,0.57,1.78,0.0,0.0,0.0,0.0,2.78e-06,0.0,2.78e-06,0.0,1.49e-06,0.2172726496518365,19.978115669659616,2.8905225108218238
11/19/17,0.0,0.0,0.0,1.16,0.26,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72e-12,0.3154820418451923,11.76608124588835,1.3575853161219027
2/1/18,0.0,0.0,0.0,1.05,0.0,1.53,0.0,0.0,0.0,0.0,5.72e-05,0.0,5.72e-05,0.0,5.3e-05,0.18670341775189114,15.350337943856506,2.9657898962983613
6/18/20,0.01,0.006,0.023,1.29,0.45,2.1,13.0,0.0,24.0,30.1393986,0.636649132,25.7210484,0.636649132,20.1882992,0.65639019,0.2595276995366352,22.042116251411862,3.549248903267111
12/28/15,0.0,0.0,0.0,1.3,1.25,2.89,0.0,0.0,0.0,0.000602474,0.006395392,0.0,0.006395392,0.0,0.000185554,0.23870078949696866,23.22278419025158,3.385100095116246
