id,dt,Durazno,Sarandi_del_yi,Polanco_del_yi,Sarandi_del_Yi_level,Polanco_level,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Precipitaciones_IMERG_Durazno,Precipitaciones_MERRA_Durazno,Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi,Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi,humedad_suelo,Temperatura,ET
1,3/19/19,0.0,0.0,0.0,1.16,2.22,0.0,0.0,0.0,0.351287246,1.88e-20,0.12086793,1.88e-20,0.004296775,1.13e-05,0.2491573276002592,12.050885084972276,2.711579255782937
2,10/8/19,0.0,0.0,0.0,1.93,5.1,0.0,0.0,0.0,0.459275782,2.69e-16,0.517124176,2.69e-16,0.249224856,1.38e-17,0.2657605517592677,10.15654069575326,3.6683957727028367
3,5/6/20,0.0,0.0,0.0,1.2,2.41,0.0,5.0,0.0,0.0,0.00435859,0.0,0.00435859,0.0,1.54e-05,0.2634945797572914,23.977855355482102,2.000760457515934
4,10/28/17,0.0,0.001,0.0,2.08,3.08,0.0,14.0,0.0,0.0,3.54e-05,0.0,3.54e-05,0.0,1.7e-08,0.2659478494615383,12.677780181728895,3.245837933807591
5,2/26/16,0.011,0.008,0.028,1.2,1.42,0.0,5.0,6.0,23.8280525,1.98e-08,24.7419815,1.98e-08,24.399065,1.37e-07,0.3308570191670828,15.393558259918798,3.3758104861755776
6,7/15/16,0.001,0.002,0.0,2.25,4.44,9.0,8.0,4.0,0.0,0.032494962,0.0,0.032494962,0.0,0.036250055,0.1883809340260752,18.33752468409629,3.8487747250838513
7,12/4/18,0.0,0.0,0.0,1.19,1.72,0.0,0.0,0.0,0.0,0.011909008,0.0,0.011909008,0.0,5.64e-05,0.2198275918583162,19.751740028017213,2.689740467507157
8,1/31/16,0.0,0.0,0.0,1.06,1.58,0.0,0.0,0.0,0.0,0.030121207,0.000944895,0.030121207,3.93643236,0.002164207,0.2049982656868013,14.765820524426417,2.67313479944713
9,5/19/19,0.009,0.008,0.005,1.14,1.68,37.0,43.0,21.0,28.4769325,0.0,27.2500916,0.0,28.8859997,8.34e-12,0.325871518796305,24.800699367642817,2.6431941684480567
10,7/26/16,0.005,0.01,0.003,1.88,5.04,30.0,55.0,43.0,0.613798797,0.00089854,2.206738,0.00089854,5.92385435,0.00754036,0.2774742119197012,20.240194894961945,3.1047402735749685
